hash_index,year,power_p2x,power_x2p,eff_p2x,eff_x2p,storage_size,n_days,k_p2x,k_x2p
3d90dc640cd80fd736bf2e065a1dc7eb,2016,10.0,20.0,0.7,0.4,350.0,5.0,0.6,2.0
b779282ebb8fffe14548feec5759798e,2017,10.0,20.0,0.7,0.4,350.0,30.0,0.6,2.0
febd8a14907bb426f1900ba4213ba162,2018,10.0,20.0,0.7,0.4,350.0,10.0,0.6,2.0
1ca38e3c80a61c182081ed5e6adcdb95,2019,10.0,20.0,0.7,0.4,350.0,30.0,0.6,1.8
335a227bb5c8eaf762e8670c07f6bc73,2020,10.0,20.0,0.7,0.4,350.0,15.0,0.5,1.6
d8ffba80de6678bc59ebec4274d3b46b,2021,10.0,20.0,0.7,0.4,350.0,20.0,0.4,1.7
ccb5716914de27edbf7348ee518adcd6,2022,10.0,20.0,0.7,0.4,350.0,15.0,0.4,1.8
54aaccf783151c0a98f9e285a36f7970,2023,10.0,20.0,0.7,0.4,350.0,15.0,0.4,1.6
37f2fd8c96ef80a03904c345785914f7,2022,10.0,20.0,0.7,0.4,88.0,15.0,0.4,1.6
594f9791f732762d2b77e04d00f4b3c4,2022,10.0,20.0,0.7,0.4,175.0,15.0,0.4,1.8
dd1795f86a307523e72cf4dbcd1edd9d,2022,10.0,20.0,0.7,0.4,700.0,30.0,0.4,1.9
0d58cdb1afb9dbc9d143cc6fed75a014,2022,10.0,20.0,0.7,0.4,1400.0,30.0,0.5,1.8
4cbcfc19ec93a9cea719c9a8d41bea08,2022,10.0,20.0,0.7,0.4,2800.0,30.0,0.5,2.0
764abd4e5b810bbb8a0c8e853960265f,2023,10.0,20.0,0.7,0.4,88.0,20.0,0.4,1.5
466bd7fc347cd584c276890e7b2acc87,2023,10.0,20.0,0.7,0.4,175.0,15.0,0.4,1.7
2aff7fae4a9edd0e02708786bbb12396,2023,10.0,20.0,0.7,0.4,700.0,10.0,0.5,1.9
63f9b64f6015fa1c08f4bfdc87fa570f,2023,10.0,20.0,0.7,0.4,1400.0,10.0,0.5,2.0
f01d4e81dc699fd8d69737a9dce19a5e,2023,10.0,20.0,0.7,0.4,2800.0,10.0,0.6,1.9
653fd013e46f6b3f5bfc125876c4f776,2022,2.5,27.5,0.7,0.4,350.0,30.0,0.5,2.0
19c66e8c5764e1d0133ab02e01c5c920,2022,5.0,25.0,0.7,0.4,350.0,20.0,0.5,1.9
6dd0d7d80f4cf7d1c3ae0a8078801f7f,2022,7.5,22.5,0.7,0.4,350.0,20.0,0.4,1.8
d08e8e5aad26a19a824ef606e82c7629,2022,12.5,17.5,0.7,0.4,350.0,15.0,0.4,1.8
ae09f7d31780527b1ed6a449d423e8cb,2022,15.0,15.0,0.7,0.4,350.0,15.0,0.3,1.6
5a2a9104f8daf7ebda7fe4ccc2f1fa96,2022,17.5,12.5,0.7,0.4,350.0,10.0,0.3,1.7
0c461c2fdb9a3aa0697f0756ffb47f3d,2022,20.0,10.0,0.7,0.4,350.0,20.0,0.4,1.5
9aa2d686b178bd4358a90317d41e158b,2022,22.5,7.5,0.7,0.4,350.0,5.0,0.3,1.5
c77353eea858d6aa2f4134f6a5224bbb,2022,25.0,5.0,0.7,0.4,350.0,5.0,0.3,1.5
7bd5a0b4f35871ac6ba6e409606bea33,2022,27.5,2.5,0.7,0.4,350.0,15.0,0.2,1.5
8bfe2bb92cf70e0bd0e906998fd7bf94,2023,2.5,27.5,0.7,0.4,350.0,15.0,0.5,2.0
465bff8f2ee7d873048080b173c21a7c,2023,5.0,25.0,0.7,0.4,350.0,10.0,0.4,1.9
075a146175e8a3792743909d28c2bb39,2023,7.5,22.5,0.7,0.4,350.0,10.0,0.4,1.9
86c2cfc9a150387d751804610c043df6,2023,12.5,17.5,0.7,0.4,350.0,15.0,0.4,1.5
634d3a10fa669df4060eefe2ac762e85,2023,15.0,15.0,0.7,0.4,350.0,20.0,0.3,1.5
01ec44a3d3e0909999152caebd9b4dd2,2023,17.5,12.5,0.7,0.4,350.0,20.0,0.3,1.5
d7976fcfbd8481e4e22ab0563c854225,2023,20.0,10.0,0.7,0.4,350.0,20.0,0.3,1.5
1d814d55fae65d0bd8d001711b29043a,2023,22.5,7.5,0.7,0.4,350.0,20.0,0.3,1.5
a2bd5f832259f0a6e9be3a49d023b331,2023,25.0,5.0,0.7,0.4,350.0,20.0,0.3,1.5
e88bc739844b4e442eeb8b094d8865ac,2023,27.5,2.5,0.7,0.4,350.0,5.0,0.2,1.5
