date,down_regulating_price_mFRR,up_regulating_price_mFRR,down_regulation_volyme_mFRR,up_regulation_volyme_mFRR
2016-01-01 00:00:00+02:00,11.6,16.74,0.0,8.333
2016-01-01 01:00:00+02:00,16.39,17.0,0.0,20.0
2016-01-01 02:00:00+02:00,16.04,17.0,0.0,33.333
2016-01-01 03:00:00+02:00,15.74,15.74,0.0,0.0
2016-01-01 04:00:00+02:00,15.57,15.57,0.0,0.0
2016-01-01 05:00:00+02:00,15.47,15.47,0.0,0.0
2016-01-01 06:00:00+02:00,15.75,15.75,0.0,0.0
2016-01-01 07:00:00+02:00,15.36,15.36,0.0,0.0
2016-01-01 08:00:00+02:00,13.01,15.37,0.0,0.0
2016-01-01 09:00:00+02:00,13.01,15.19,0.0,0.0
2016-01-01 10:00:00+02:00,13.01,15.39,0.0,0.0
2016-01-01 11:00:00+02:00,15.0,17.4,0.0,22.333
2016-01-01 12:00:00+02:00,16.15,18.0,0.0,33.333
2016-01-01 13:00:00+02:00,16.5,20.0,0.0,43.333
2016-01-01 14:00:00+02:00,16.72,20.0,0.0,80.0
2016-01-01 15:00:00+02:00,17.17,20.0,0.0,80.0
2016-01-01 16:00:00+02:00,18.0,20.82,0.0,100.0
2016-01-01 17:00:00+02:00,18.53,29.0,0.0,118.333
2016-01-01 18:00:00+02:00,19.11,42.0,0.0,207.417
2016-01-01 19:00:00+02:00,18.68,42.0,0.0,247.0
2016-01-01 20:00:00+02:00,17.93,22.0,0.0,54.5
2016-01-01 21:00:00+02:00,17.69,19.0,0.0,0.0
2016-01-01 22:00:00+02:00,19.29,25.0,0.0,177.0
2016-01-01 23:00:00+02:00,22.04,59.0,0.0,323.167
2016-01-02 00:00:00+02:00,16.25,35.0,0.0,205.833
2016-01-02 01:00:00+02:00,16.47,16.47,0.0,0.0
2016-01-02 02:00:00+02:00,15.89,17.24,0.0,7.5
2016-01-02 03:00:00+02:00,15.03,17.24,0.0,15.0
2016-01-02 04:00:00+02:00,13.19,13.19,0.0,0.0
2016-01-02 05:00:00+02:00,10.78,12.69,0.0,0.0
2016-01-02 06:00:00+02:00,10.78,12.94,0.0,0.0
2016-01-02 07:00:00+02:00,8.0,13.59,0.0,0.0
2016-01-02 08:00:00+02:00,8.0,17.37,-8.667,0.0
2016-01-02 09:00:00+02:00,12.5,19.34,0.0,0.0
2016-01-02 10:00:00+02:00,12.5,19.96,-36.667,0.0
2016-01-02 11:00:00+02:00,19.91,19.91,0.0,0.0
2016-01-02 12:00:00+02:00,16.14,19.0,0.0,0.0
2016-01-02 13:00:00+02:00,15.87,19.4,0.0,19.5
2016-01-02 14:00:00+02:00,19.97,19.97,0.0,0.0
2016-01-02 15:00:00+02:00,27.76,59.0,0.0,46.5
2016-01-02 16:00:00+02:00,39.89,59.0,0.0,82.0
2016-01-02 17:00:00+02:00,39.89,39.89,0.0,0.0
2016-01-02 18:00:00+02:00,39.87,39.87,0.0,0.0
2016-01-02 19:00:00+02:00,39.89,39.89,0.0,0.0
2016-01-02 20:00:00+02:00,34.78,50.0,0.0,82.0
2016-01-02 21:00:00+02:00,30.08,30.08,0.0,0.0
2016-01-02 22:00:00+02:00,31.36,99.0,0.0,198.333
2016-01-02 23:00:00+02:00,27.13,55.0,0.0,164.0
2016-01-03 00:00:00+02:00,23.61,42.0,0.0,198.333
2016-01-03 01:00:00+02:00,17.95,30.0,0.0,153.667
2016-01-03 02:00:00+02:00,15.87,18.79,0.0,20.0
2016-01-03 03:00:00+02:00,15.76,18.79,0.0,20.0
2016-01-03 04:00:00+02:00,15.59,18.79,0.0,0.0
2016-01-03 05:00:00+02:00,15.69,18.79,0.0,0.0
2016-01-03 06:00:00+02:00,15.83,18.79,0.0,0.0
2016-01-03 07:00:00+02:00,14.98,18.79,0.0,0.0
2016-01-03 08:00:00+02:00,15.53,18.79,0.0,0.0
2016-01-03 09:00:00+02:00,15.79,18.79,0.0,0.0
2016-01-03 10:00:00+02:00,16.36,18.79,0.0,0.0
2016-01-03 11:00:00+02:00,17.15,36.0,0.0,30.917
2016-01-03 12:00:00+02:00,17.94,50.0,0.0,228.5
2016-01-03 13:00:00+02:00,17.94,36.0,0.0,137.0
2016-01-03 14:00:00+02:00,17.66,36.0,0.0,110.0
2016-01-03 15:00:00+02:00,23.4,36.0,0.0,85.0
2016-01-03 16:00:00+02:00,27.2,60.0,0.0,132.167
2016-01-03 17:00:00+02:00,28.72,60.0,0.0,160.333
2016-01-03 18:00:00+02:00,27.12,40.0,0.0,70.0
2016-01-03 19:00:00+02:00,25.57,25.57,0.0,19.35
2016-01-03 20:00:00+02:00,24.99,24.99,0.0,27.0
2016-01-03 21:00:00+02:00,19.58,21.0,0.0,27.0
2016-01-03 22:00:00+02:00,22.02,22.02,0.0,0.0
2016-01-03 23:00:00+02:00,16.9,50.0,0.0,79.75
2016-01-04 00:00:00+02:00,15.74,19.0,0.0,27.417
2016-01-04 01:00:00+02:00,15.96,17.74,0.0,5.0
2016-01-04 02:00:00+02:00,15.81,15.81,0.0,0.0
2016-01-04 03:00:00+02:00,15.56,15.56,0.0,0.0
2016-01-04 04:00:00+02:00,15.57,15.57,0.0,0.0
2016-01-04 05:00:00+02:00,15.92,15.92,0.0,0.0
2016-01-04 06:00:00+02:00,27.16,27.16,0.0,0.0
2016-01-04 07:00:00+02:00,34.03,34.03,0.0,0.0
2016-01-04 08:00:00+02:00,34.47,34.47,0.0,0.0
2016-01-04 09:00:00+02:00,34.46,34.46,0.0,0.0
2016-01-04 10:00:00+02:00,34.05,34.05,0.0,0.0
2016-01-04 11:00:00+02:00,34.08,34.08,0.0,0.0
2016-01-04 12:00:00+02:00,34.08,34.08,0.0,0.0
2016-01-04 13:00:00+02:00,34.08,34.08,0.0,0.0
2016-01-04 14:00:00+02:00,34.41,34.41,0.0,0.0
2016-01-04 15:00:00+02:00,34.44,34.44,0.0,0.0
2016-01-04 16:00:00+02:00,34.49,34.49,0.0,0.0
2016-01-04 17:00:00+02:00,34.46,34.46,0.0,4.5
2016-01-04 18:00:00+02:00,34.44,34.44,0.0,27.0
2016-01-04 19:00:00+02:00,34.45,34.45,0.0,27.0
2016-01-04 20:00:00+02:00,34.43,34.43,0.0,27.0
2016-01-04 21:00:00+02:00,33.54,33.54,0.0,27.0
2016-01-04 22:00:00+02:00,32.96,32.96,0.0,0.0
2016-01-04 23:00:00+02:00,23.96,23.96,0.0,0.0
2016-01-05 00:00:00+02:00,19.1,19.1,0.0,20.25
2016-01-05 01:00:00+02:00,17.68,19.63,0.0,13.333
2016-01-05 02:00:00+02:00,17.33,19.0,0.0,0.0
2016-01-05 03:00:00+02:00,17.24,19.08,0.0,15.0
2016-01-05 04:00:00+02:00,17.32,19.08,0.0,20.0
2016-01-05 05:00:00+02:00,17.66,19.08,0.0,47.0
